,Concept URI,Concept notation,Concept notation,Concept label,,,,,,
Id,http://www.w3.org/ethical_list/eao-skos#,,skos:concept,skos:prefLabel@en,skos:altLabel,skos:definition,skos:narrower,skos:broader,skos:exactMatch,skos:relatedMatch
ethicalIssue0001,http://www.w3.org/ethical_list/eao-skos#Harm,Harm,Harm,Harm,,,"Enviromental harm, Social harm, Bodily harm, Health harm",,,
ethicalIssue0002,http://www.w3.org/ethical_list/eao-skos#EnviromentalHarm,EnviromentalHarm,Enviromental Harm,Enviromental Harm,,,,Harm,,http://publications.europa.eu/resource/authority/eurovoc/371
ethicalIssue0003,http://www.w3.org/ethical_list/eao-skos#SocialHarm,SocialHarm,Social Harm,Social Harm,,,"Harm to social relation, Harm to the interests of societal groups, Harm to socia values, Harm to democratics life",Harm,,
ethicalIssue0004,http://www.w3.org/ethical_list/eao-skos#HarmToSocialRelation,HarmToSocialRelation,Harm to social relation,Harm to social relation,,,,Social Harm,,
ethicalIssue0005,http://www.w3.org/ethical_list/eao-skos#HarmToTheInterestsOfSocietalGroups,HarmToTheInterestsOfSocietalGroups,Harm to the interests of societal groups,Harm to the interests of societal groups,,,,Social Harm,,
ethicalIssue0006,http://www.w3.org/ethical_list/eao-skos#HarmToTheInterestsOfSocietalGroupsHarmToSociaValues,HarmToSociaValues,Harm to socia values,Harm to socia values,,,,Social Harm,,
ethicalIssue0007,http://www.w3.org/ethical_list/eao-skos#HarmToDemocraticsLife,HarmToDemocraticsLife,Harm to democratics life,Harm to democratics life,,,,Social Harm,,
ethicalIssue0008,http://www.w3.org/ethical_list/eao-skos#HarmToDemocraticsLifeBodilyHarm,BodilyHarm,Bodily harm,Bodily harm,,,,Harm,,
ethicalIssue0009,http://www.w3.org/ethical_list/eao-skos#HealthHarm,HealthHarm,Health harm,Health harm,,,"Psychological harm, Pain and suffering",Harm,,
ethicalIssue0010,http://www.w3.org/ethical_list/eao-skos#PyschologicalHarm,PyschologicalHarm,Pyschological harm,Pyschological harm,,,,Health harm,https://w3id.org/dpv/risk#PsychologicalHarm,
ethicalIssue0011,http://www.w3.org/ethical_list/eao-skos#PainAndSuffering,PainAndSuffering,Pain and suffering,Pain and suffering,,,,Health harm,,
ethicalIssue0012,http://www.w3.org/ethical_list/eao-skos#Right,Right,Right,Right,,,"Freedom, Autonomy, Human dignity, Privacy, Property, Animal rigth and animal welfare, Other basic human right",,FredomOfSpeechAndExpresion,https://w3id.org/dpv/rights/eu#A12-FreedomOfAssemblyAssociation
ethicalIssue0013,http://www.w3.org/ethical_list/eao-skos#Freedom,Freedom,Freedom,Freedom,,,"Freedom of assembly, Freedom of movement, Freedom of spech and expression",Right,,
ethicalIssue0014,http://www.w3.org/ethical_list/eao-skos#FreedomOfAssembly,FreedomOfAssembly,Freedom of assembly,Freedom of assembly,,,Fredom of speech and expresion,Freedom,,https://w3id.org/dpv/rights/eu#A12-FreedomOfAssemblyAssociation
ethicalIssue0015,http://www.w3.org/ethical_list/eao-skos#FreedomOfMovement,FreedomOfMovement,Freedom of movement,Freedom of movement,,,,Freedom,,
ethicalIssue0016,http://www.w3.org/ethical_list/eao-skos#FreedomOfSpechAndExpression,FreedomOfSpechAndExpression,Freedom of spech and expression,Freedom of spech and expression,,,,Freedom,,
ethicalIssue0017,http://www.w3.org/ethical_list/eao-skos#FredomOfSpeechAndExpresion,FredomOfSpeechAndExpresion,Fredom of speech and expresion,Fredom of speech and expresion,,,,Freedom of assembly,,
ethicalIssue0018,http://www.w3.org/ethical_list/eao-skos#Autonomy,Autonomy,Autonomy,Autonomy,,,"Ability to make one's thoughts and form one's own opinions, Acountabiity, InformedConset, Responsability",Right,,
ethicalIssue0019,http://www.w3.org/ethical_list/eao-skos#AbilityToMakeOne'SThoughtsAndFormOne'SOwnOpinions,AbilityToMakeOne'SThoughtsAndFormOne'SOwnOpinions,Ability to make one's thoughts and form one's own opinions,Ability to make one's thoughts and form one's own opinions,,,,Autonomy,,
ethicalIssue0020,http://www.w3.org/ethical_list/eao-skos#Acountabiity,Acountabiity,Acountabiity,Acountabiity,,,,Autonomy,,
ethicalIssue0021,http://www.w3.org/ethical_list/eao-skos#Informedconset,Informedconset,InformedConset,InformedConset,,,,Autonomy,,
ethicalIssue0022,http://www.w3.org/ethical_list/eao-skos#PainAndSufferingResponsability,Responsability,Responsability,Responsability,,,,Autonomy,,
ethicalIssue0023,http://www.w3.org/ethical_list/eao-skos#RightHumanDignity,HumanDignity,Human dignity,Human dignity,,,,Right,https://w3id.org/dpv/rights/eu#A1-HumanDignity,
ethicalIssue0024,http://www.w3.org/ethical_list/eao-skos#FreedomPrivacy,Privacy,Privacy,Privacy,,,"Information privacy, Bodily privacy, Relational privacy",Right,,Article 8-protections of personal data
ethicalIssue0025,http://www.w3.org/ethical_list/eao-skos#FreedomOfAssemblyInformationPrivacy,InformationPrivacy,Information privacy,Information privacy,,,,Privacy,,
ethicalIssue0026,http://www.w3.org/ethical_list/eao-skos#FreedomOfMovementBodilyPrivacy,BodilyPrivacy,Bodily privacy,Bodily privacy,,,,Privacy,,
ethicalIssue0027,http://www.w3.org/ethical_list/eao-skos#FreedomOfSpechAndExpressionRelationalPrivacy,RelationalPrivacy,Relational privacy,Relational privacy,,,,Privacy,,
ethicalIssue0028,http://www.w3.org/ethical_list/eao-skos#FredomOfSpeechAndExpresionProperty,Property,Property,Property,,,"Intelectual property rigths, Rigth to property",Right,,
ethicalIssue0029,http://www.w3.org/ethical_list/eao-skos#AutonomyIntelectualPropertyRigths,IntelectualPropertyRigths,Intelectual property rigths,Intelectual property rigths,,,,Property,,
